bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	id	name2	cdsStartStat	cdsEndStat	exonFrames
608	NR_026648	chr6	+	3118691	3153196	3098429	3098429	9	3063924,3064517,3068889,3072474,3074277,3082594,3083273,3085618,3097720,	3064080,3064745,3068993,3072641,3074431,3082655,3083412,3085742,3098429,	0	BPHL	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,
608	NR_026649	chr6	+	3118691	3153196	3098429	3098429	8	3063924,3068889,3072474,3074277,3082594,3083273,3085618,3097720,	3064080,3068993,3072641,3074431,3082655,3083412,3085742,3098429,	0	BPHL	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
608	NR_026650	chr6	+	3118691	3153196	3098429	3098429	8	3063924,3064517,3068889,3072474,3074277,3082594,3085618,3097720,	3064080,3064745,3068993,3072641,3074431,3082726,3085742,3098429,	0	BPHL	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
608	NM_001069	chr6	-	3153667	3157549	3099095	3102696	4	3098900,3100857,3101276,3102639,	3100156,3100968,3101385,3102782,	0	TUBB2A	cmpl	cmpl	1,1,0,0,
609	NM_178012	chr6	-	3224261	3227734	3169983	3172776	4	3169494,3171391,3171793,3172719,	3171044,3171502,3171902,3172967,	0	TUBB2B	cmpl	cmpl	1,1,0,0,
609	NM_001135750	chr6	+	3258927	3263862	3204255	3209057	2	3204160,3208916,	3204429,3209095,	0	PSMG4	cmpl	cmpl	0,0,
609	NM_001128591	chr6	+	3258927	3268066	3204255	3212945	3	3204160,3208916,3212823,	3204429,3208992,3213299,	0	PSMG4	cmpl	cmpl	0,0,1,
609	NM_001128592	chr6	+	3258927	3268066	3204255	3212945	4	3204160,3208916,3209441,3212823,	3204429,3208992,3209558,3213299,	0	PSMG4	cmpl	cmpl	0,0,1,1,
76	NM_021945	chr6	-	3268973	3444984	3218287	3355490	11	3214206,3229084,3230311,3232091,3234996,3243323,3269066,3355420,3360984,3377326,3390051,	3218645,3229208,3230344,3232324,3235099,3243451,3269235,3355575,3361088,3377571,3390217,	0	SLC22A23	cmpl	cmpl	2,1,1,2,1,2,1,0,-1,-1,-1,
76	NM_015482	chr6	-	3268973	3456559	3218287	3401792	10	3214206,3229084,3230311,3232091,3234996,3243323,3269066,3355420,3360984,3401138,	3218645,3229208,3230344,3232324,3235099,3243451,3269235,3355575,3361088,3401792,	0	SLC22A23	cmpl	cmpl	2,1,1,2,1,2,1,2,0,0,
76	NM_183373	chr6	-	3722601	3752012	3668851	3696764	5	3667834,3672783,3682311,3683289,3696508,	3668969,3672895,3682429,3683381,3697245,	0	C6orf145	cmpl	cmpl	2,1,0,1,0,
613	NM_012135	chr6	+	3849397	3851317	3795044	3796022	2	3794630,3795021,	3794719,3796550,	0	FAM50B	cmpl	cmpl	-1,0,
615	NM_003913	chr6	+	4021334	4064983	3966658	4005849	15	3966567,3976791,3982629,3986004,3987719,3989045,3992407,3994248,3994964,3997189,3997952,4001553,4002268,4003960,4005645,	3966699,3977988,3982803,3986160,3987801,3989256,3992481,3994339,3995112,3997327,3998106,4001668,4002420,4004047,4010216,	0	PRPF4B	cmpl	cmpl	0,2,2,2,2,0,1,0,1,2,2,0,1,0,0,
615	NM_173563	chr6	-	4068366	4079157	4013928	4022647	7	4013599,4018507,4018665,4019675,4019809,4022587,4024084,	4015153,4018575,4018740,4019689,4019894,4022681,4024390,	0	C6orf146	cmpl	cmpl	2,0,0,1,0,0,-1,
76	NM_001085401	chr6	+	4079205	4130765	4032874	4075415	6	4024438,4032581,4044232,4067181,4075374,4075717,	4024913,4032959,4044431,4067279,4075594,4075998,	0	C6orf201	cmpl	cmpl	-1,0,1,2,1,-1,
76	NM_206836	chr6	-	4115692	4135597	4061106	4073064	11	4060925,4062540,4064418,4070482,4071367,4072994,4075411,4075604,4075999,4078781,4080743,	4061262,4062684,4064508,4070603,4071470,4073064,4075482,4075793,4076098,4078934,4080830,	0	PECI	cmpl	cmpl	0,0,0,2,1,0,-1,-1,-1,-1,-1,
76	NM_006117	chr6	-	4115692	4135597	4061106	4078904	10	4060925,4062540,4064418,4070482,4071367,4072994,4075604,4075999,4078781,4080743,	4061262,4062684,4064508,4070603,4071470,4073064,4075793,4076098,4078934,4080830,	0	PECI	cmpl	cmpl	0,0,0,2,1,0,0,0,0,-1,
77	NM_001143970	chr6	+	4836097	4955543	4837317	4899289	7	4781330,4836945,4880747,4882797,4888778,4897498,4899130,	4781541,4837612,4881004,4882970,4888989,4897642,4900776,	0	CDYL	cmpl	cmpl	-1,0,1,0,2,0,0,
77	NM_001143971	chr6	+	4889991	4955543	4837317	4899289	7	4835224,4836945,4880747,4882797,4888778,4897498,4899130,	4835359,4837612,4881004,4882970,4888989,4897642,4900776,	0	CDYL	cmpl	cmpl	-1,0,1,0,2,0,0,
77	NR_026590	chr6	+	4706158	4955543	4900776	4900776	9	4651391,4660973,4679994,4836945,4880747,4882797,4888778,4897498,4899130,	4651484,4661114,4680077,4837612,4881004,4882970,4888989,4897642,4900776,	0	CDYL	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,
77	NM_004824	chr6	+	4776445	4955543	4722016	4899289	7	4721678,4836945,4880747,4882797,4888778,4897498,4899130,	4722040,4837612,4881004,4882970,4888989,4897642,4900776,	0	CDYL	cmpl	cmpl	0,0,1,0,2,0,0,
622	NM_006638	chr6	-	4995045	5004037	4940310	4949235	8	4940278,4941183,4941454,4943948,4945041,4945795,4947333,4949112,	4940509,4941318,4941653,4944074,4945137,4945864,4947478,4949270,	0	RPP40	cmpl	cmpl	2,2,1,1,1,1,0,0,
623	NM_001145115	chr6	+	5085485	5087221	5030718	5031795	1	5030718,	5032454,	0	PPP1R3G	cmpl	cmpl	0,
77	NM_020408	chr6	-	5108418	5260935	5054655	5205965	3	5053651,5161849,5205879,	5054724,5161970,5206167,	0	LYRM4	cmpl	cmpl	0,2,0,
9	NM_006567	chr6	+	5261350	5771583	5313802	5716661	7	5206582,5313781,5349773,5376272,5490411,5558400,5716522,	5206892,5314414,5349933,5376404,5490572,5558552,5716815,	0	FARS2	cmpl	cmpl	-1,0,0,1,1,0,2,
630	NM_016588	chr6	-	5997999	6007400	5944207	5951981	3	5943231,5947584,5951926,	5944436,5947729,5952632,	0	NRN1	cmpl	cmpl	2,1,0,
78	NM_000129	chr6	-	6144077	6320691	6090850	6263896	15	6089309,6097044,6112689,6119811,6127219,6141028,6142454,6167264,6169917,6193543,6196042,6211789,6250582,6263766,6265818,	6091004,6097181,6112850,6120099,6127373,6141117,6142558,6167403,6170092,6193651,6196161,6212041,6250771,6263914,6265923,	0	F13A1	cmpl	cmpl	2,0,1,1,0,1,2,1,0,0,1,1,1,0,-1,
79	NR_026970	chr6	-	6346465	6622826	6568058	6568058	8	6291697,6293842,6311586,6314233,6383807,6509526,6514649,6567863,	6292652,6293982,6311841,6314387,6383964,6509620,6514721,6568058,	0	LOC285780	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
79	NM_004271	chr6	+	6588700	6654983	6533966	6599859	5	6533932,6570157,6571524,6594856,6599775,	6534102,6570244,6571653,6594909,6600215,	0	LY86	cmpl	cmpl	0,1,1,1,0,
79	NM_001003699	chr6	+	7107954	7251459	7127143	7194200	13	7053186,7121886,7126355,7127101,7132665,7134390,7156035,7156804,7171698,7174228,7185669,7191655,7193742,	7053292,7122005,7126478,7127314,7132755,7134554,7156180,7156941,7171888,7177139,7185834,7192453,7196691,	0	RREB1	cmpl	cmpl	-1,-1,-1,0,0,0,2,0,2,0,1,1,1,
79	NM_001003698	chr6	+	7107954	7251459	7127143	7194200	12	7053186,7121886,7126355,7127101,7132665,7134390,7156035,7156804,7171698,7174228,7191655,7193742,	7053292,7122005,7126478,7127314,7132755,7134554,7156180,7156941,7171888,7177139,7192453,7196691,	0	RREB1	cmpl	cmpl	-1,-1,-1,0,0,0,2,0,2,0,1,1,
640	NM_003144	chr6	-	7281054	7313308	7235095	7258352	8	7226286,7240623,7243154,7243978,7246541,7248781,7255148,7258273,	7235163,7240717,7243233,7244055,7246804,7248869,7255261,7258540,	0	SSR1	cmpl	cmpl	1,0,2,0,1,0,1,0,
640	NM_205864	chr6	-	7326653	7389709	7272089	7324127	11	7271885,7275080,7279253,7300272,7310699,7313919,7315150,7318304,7323848,7331016,7334433,	7272131,7275120,7279322,7300343,7310807,7314030,7315297,7319363,7324252,7331104,7334941,	0	CAGE1	cmpl	cmpl	0,2,2,0,0,0,0,0,0,-1,-1,
641	NM_153005	chr6	+	7402646	7418037	7348085	7362673	10	7347878,7349172,7349649,7350149,7350480,7355617,7356563,7358120,7359469,7362562,	7348129,7349259,7349787,7350253,7350587,7355683,7356683,7358174,7359622,7363269,	0	RIOK1	cmpl	cmpl	0,2,2,2,1,0,0,0,0,0,
9	NM_031480	chr6	+	7389828	7418037	7335234	7362673	17	7335060,7338330,7340284,7341934,7343929,7346189,7347834,7348048,7349172,7349649,7350149,7350480,7355617,7356563,7358120,7359469,7362562,	7335305,7338535,7340375,7342004,7343972,7346282,7347947,7348129,7349259,7349787,7350253,7350587,7355683,7356683,7358174,7359622,7363269,	0	RIOK1	cmpl	cmpl	0,2,0,1,2,0,0,2,2,2,2,1,0,0,0,0,0,
642	NM_004415	chr6	+	7541636	7586713	7487147	7531110	24	7486868,7500949,7503347,7504457,7507883,7508967,7510590,7511608,7512585,7513012,7513668,7514417,7515668,7516614,7517073,7519317,7519888,7520526,7521525,7522190,7523010,7523695,7524506,7527873,	7487317,7501052,7503496,7504632,7508012,7509018,7510752,7511713,7512681,7513138,7513821,7514572,7515795,7516816,7517300,7519484,7520027,7520720,7521688,7522274,7523118,7523794,7526801,7531945,	0	DSP	cmpl	cmpl	0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,
642	NM_001008844	chr6	+	7541636	7586713	7487147	7531110	24	7486868,7500949,7503347,7504457,7507883,7508967,7510590,7511608,7512585,7513012,7513668,7514417,7515668,7516614,7517073,7519317,7519888,7520526,7521525,7522190,7523010,7523695,7524506,7527873,	7487317,7501052,7503496,7504632,7508012,7509018,7510752,7511713,7512681,7513138,7513821,7514572,7515795,7516816,7517300,7519484,7520027,7520720,7521688,7522274,7523118,7523794,7525004,7531945,	0	DSP	cmpl	cmpl	0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,
642	NM_152551	chr6	+	7590198	7611967	7535489	7554105	9	7535430,7538965,7539330,7540258,7546567,7547854,7550629,7551262,7554056,	7535645,7539079,7539391,7540333,7546756,7547976,7550718,7551427,7557199,	0	SNRNP48	cmpl	cmpl	0,0,0,1,1,1,0,2,2,
80	NM_001718	chr6	+	7726777	7881728	7672187	7825575	7	7672009,7790371,7806682,7807532,7824305,7825222,7825425,	7672851,7790564,7806831,7807730,7824382,7825333,7826960,	0	BMP6	cmpl	cmpl	0,1,2,1,1,0,0,
644	NM_001145549	chr6	-	7881520	7909894	7828375	7849894	10	7826752,7829590,7831192,7833936,7834726,7836852,7840337,7844807,7849805,7855044,	7828498,7829720,7831275,7834080,7834813,7836968,7840434,7844913,7849955,7855126,	0	TXNDC5	cmpl	cmpl	0,2,0,0,0,1,0,2,0,-1,
644	NM_030810	chr6	-	7881518	7910808	7828375	7856008	10	7826750,7829590,7831192,7833936,7834726,7836852,7840337,7844807,7849805,7855745,	7828498,7829720,7831275,7834080,7834813,7836968,7840434,7844913,7849955,7856040,	0	TXNDC5	cmpl	cmpl	0,2,0,0,0,1,0,2,2,0,
80	NM_201280	chr6	-	8013981	8064414	7960880	8009608	5	7959213,7971598,7986370,8007765,8009496,	7961060,7971657,7986500,8007848,8009646,	0	MUTED	cmpl	cmpl	0,1,0,1,0,
646	NR_003703	chr6	-	8086407	8086533	8031765	8031765	1	8031639,	8031765,	0	SCARNA27	unk	unk	-1,
646	NM_004280	chr6	-	8079402	8102595	8025121	8047753	4	8024634,8035417,8042498,8047666,	8025262,8035513,8042699,8047827,	0	EEF1E1	cmpl	cmpl	0,0,0,0,
646	NM_001135650	chr6	-	8073361	8102595	8018706	8047753	4	8018593,8035417,8042498,8047666,	8018742,8035513,8042699,8047827,	0	EEF1E1	cmpl	cmpl	0,0,0,0,
648	NM_001142540	chr6	-	8413069	8435561	8358780	8379619	11	8358301,8360139,8362115,8362633,8364811,8365952,8367701,8373168,8375095,8379616,8380459,	8358931,8360209,8362227,8362726,8364909,8366060,8367856,8373290,8375389,8379662,8380793,	0	SLC35B3	cmpl	cmpl	2,1,0,0,1,1,2,0,0,0,-1,
648	NM_001142541	chr6	-	8413069	8435561	8358780	8379619	11	8358301,8360139,8362115,8362633,8364811,8365952,8367701,8373168,8375095,8379616,8380670,	8358931,8360209,8362227,8362726,8364909,8366060,8367856,8373290,8375389,8379662,8380793,	0	SLC35B3	cmpl	cmpl	2,1,0,0,1,1,2,0,0,0,-1,
648	NM_015948	chr6	-	8413069	8435561	8358780	8379619	11	8358301,8360139,8362115,8362633,8364811,8365952,8367701,8373168,8375095,8379616,8380308,	8358931,8360209,8362227,8362726,8364909,8366060,8367856,8373290,8375389,8379662,8380793,	0	SLC35B3	cmpl	cmpl	2,1,0,0,1,1,2,0,0,0,-1,
650	NR_004855	chr6	+	8652208	8653848	8599080	8599080	2	8597440,8598776,	8597622,8599080,	0	HULC	unk	unk	-1,-1,
82	NM_153003	chr6	-	9896710	10060689	10005102	10047519	8	10004929,10008544,10011591,10016736,10040988,10041460,10047507,10168868,	10005222,10008708,10011660,10016823,10041165,10041527,10047568,10168908,	0	OFCC1	cmpl	cmpl	0,1,1,1,1,0,0,-1,
665	NM_001032280	chr6	-	10396682	10412374	10506635	10519815	7	10504901,10508666,10510710,10512726,10515011,10518119,10519788,	10506924,10508808,10510829,10512958,10515063,10518554,10520593,	0	TFAP2A	cmpl	cmpl	2,1,2,1,0,0,0,
665	NM_003220	chr6	-	10396682	10415237	10506635	10523204	7	10504901,10508666,10510710,10512726,10515011,10518119,10523159,	10506924,10508808,10510829,10512958,10515063,10518554,10523456,	0	TFAP2A	cmpl	cmpl	2,1,2,1,0,0,0,
665	NM_001042425	chr6	-	10396682	10419564	10506635	10527669	7	10504901,10508666,10510710,10512726,10515011,10518119,10527636,	10506924,10508808,10510829,10512958,10515063,10518554,10527783,	0	TFAP2A	cmpl	cmpl	2,1,2,1,0,0,0,
665	NM_152738	chr6	-	10429443	10434541	10538116	10538473	3	10537662,10542466,10542731,	10538532,10542645,10542760,	0	C6orf218	cmpl	cmpl	0,-1,-1,
666	NM_145655	chr6	+	10585759	10629368	10694208	10734826	3	10693978,10729569,10734635,	10695133,10729662,10737587,	0	GCNT2	cmpl	cmpl	0,1,1,
666	NM_145649	chr6	+	10521334	10629368	10637130	10734826	5	10629553,10635692,10636849,10729569,10734635,	10629636,10635879,10638055,10729662,10737587,	0	GCNT2	cmpl	cmpl	-1,-1,0,1,1,
666	NM_001491	chr6	+	10555715	10629368	10664642	10734826	3	10663934,10729569,10734635,	10665561,10729662,10737587,	0	GCNT2	cmpl	cmpl	0,1,1,
667	NM_001145020	chr6	-	10671419	10694606	10779674	10795769	5	10779638,10791405,10795184,10795698,10802712,	10779817,10791451,10795383,10795780,10802825,	0	C6orf52	cmpl	cmpl	1,0,2,0,-1,
667	NR_026737	chr6	-	10671419	10694606	10802825	10802825	4	10779638,10791405,10795184,10802712,	10779817,10791451,10795383,10802825,	0	C6orf52	unk	unk	-1,-1,-1,-1,
667	NR_026736	chr6	-	10671419	10694797	10803016	10803016	6	10779638,10780765,10791405,10793067,10795184,10802921,	10779817,10780855,10791451,10793142,10795383,10803016,	0	C6orf52	unk	unk	-1,-1,-1,-1,-1,-1,
667	NM_017906	chr6	+	10694954	10709737	10803204	10817671	10	10803173,10805542,10810587,10810783,10811623,10812725,10812965,10815633,10817171,10817456,	10803288,10805705,10810708,10810858,10811676,10812871,10813063,10815733,10817295,10817956,	0	PAK1IP1	cmpl	cmpl	0,0,1,2,2,1,0,2,0,1,
667	NM_016462	chr6	+	10723104	10731129	10832832	10838885	6	10831323,10832788,10833179,10834125,10836858,10838833,	10831460,10832852,10833256,10834227,10836946,10839348,	0	TMEM14C	cmpl	cmpl	-1,0,2,1,1,2,
667	NM_030969	chr6	+	10747761	10756981	10857464	10864737	6	10855980,10857420,10857840,10859351,10863360,10864685,	10856100,10857487,10857917,10859453,10863451,10865200,	0	TMEM14B	cmpl	cmpl	-1,0,2,1,1,2,
667	NM_001127711	chr6	+	10747761	10756981	10857464	10864737	5	10855980,10857420,10857840,10863360,10864685,	10856100,10857487,10857917,10863451,10865200,	0	TMEM14B	cmpl	cmpl	-1,0,2,1,2,
83	NM_005906	chr6	-	10762722	10830877	10872670	10938867	13	10870941,10878329,10883546,10892642,10899893,10904216,10910110,10911938,10917028,10921862,10926068,10927104,10938766,	10872825,10878449,10883678,10892791,10900066,10904528,10910278,10912110,10917161,10921942,10926190,10927159,10939096,	0	MAK	cmpl	cmpl	1,1,1,2,0,0,0,2,1,2,0,2,0,
668	NM_004752	chr6	-	10873222	10881865	10982213	10990012	5	10981441,10984109,10984663,10985358,10989922,	10983152,10984235,10984776,10985611,10990084,	0	GCM2	cmpl	cmpl	0,0,1,0,0,
83	NM_001040274	chr6	+	10886830	10974308	10995345	11072025	30	10995049,10999731,11002085,11002303,11006229,11007042,11010895,11011093,11014238,11015760,11018366,11019042,11020891,11021085,11032714,11034557,11035458,11036621,11038588,11039658,11043276,11050677,11050895,11063334,11064354,11067002,11069523,11069718,11072000,11082170,	10995354,10999800,11002223,11002423,11006334,11007067,11010981,11011182,11014273,11015903,11018419,11019088,11020984,11021146,11032860,11034651,11035586,11036669,11038733,11039708,11043406,11050748,11050965,11063436,11064461,11067094,11069623,11069777,11072062,11082527,	0	SYCP2L	cmpl	cmpl	0,0,0,0,0,0,1,0,2,1,0,2,0,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,2,-1,
83	NM_017770	chr6	-	10980759	11044391	11091999	11152449	8	11088978,11097921,11098536,11103225,11108305,11113590,11118964,11152446,	11092125,11098056,11098661,11103397,11108383,11113778,11119028,11152610,	0	ELOVL2	cmpl	cmpl	0,0,1,0,0,1,0,0,
670	NM_207582	chr6	-	11102488	11111726	11211912	11213529	2	11210707,11219895,	11213849,11219945,	0	HERV-FRD	cmpl	cmpl	0,-1,
670	NM_001135575	chr6	+	11094032	11138731	11202532	11242821	2	11202251,11242621,	11202608,11246950,	0	LOC221710	cmpl	cmpl	0,1,
671	NM_182966	chr6	-	11200373	11232682	11309199	11340734	3	11308592,11321499,11340722,	11309265,11321946,11340901,	0	NEDD9	cmpl	cmpl	0,0,0,
671	NM_006403	chr6	-	11183298	11232682	11293380	11340734	7	11291517,11296436,11298182,11300563,11301809,11321499,11340722,	11293890,11296526,11299424,11300665,11301911,11321946,11340901,	0	NEDD9	cmpl	cmpl	0,0,0,0,0,0,0,
83	NM_001142393	chr6	-	11183298	11382348	11293380	11414222	8	11291517,11296436,11298182,11300563,11301809,11321499,11414210,11490357,	11293890,11296526,11299424,11300665,11301911,11321946,11414374,11490567,	0	NEDD9	cmpl	cmpl	0,0,0,0,0,0,0,-1,
84	NM_001100829	chr6	+	11538277	11583524	11646496	11683780	3	11646496,11673884,11683649,	11646593,11674055,11691743,	0	TMEM170B	cmpl	cmpl	0,1,1,
675	NM_001143948	chr6	-	11713656	11779047	11822696	11886978	7	11821875,11831567,11843786,11874492,11876467,11878249,11886825,	11822731,11831719,11843902,11874594,11876602,11878303,11887266,	0	C6orf105	cmpl	cmpl	1,2,0,0,0,0,0,
675	NM_032744	chr6	-	11713656	11779047	11822696	11886978	6	11821875,11831567,11843786,11874492,11876467,11886825,	11822731,11831719,11843902,11874594,11876602,11887266,	0	C6orf105	cmpl	cmpl	1,2,0,0,0,0,
84	NM_002114	chr6	+	12012490	12164999	12123847	12272680	9	12120709,12123744,12197402,12228108,12237977,12238985,12244009,12269657,12271501,	12120785,12123887,12197456,12234089,12238111,12239161,12244111,12270148,12273218,	0	HIVEP1	cmpl	cmpl	-1,0,1,1,0,2,1,1,0,
679	NM_001955	chr6	+	12290295	12297194	12398848	12404286	5	12398514,12400559,12402159,12402479,12404180,	12398912,12400728,12402315,12402623,12405413,	0	EDN1	cmpl	cmpl	0,1,2,2,2,
85	NM_030948	chr6	+	12717600	13287296	12826962	13395289	14	12825818,12826916,12857861,13161582,13268421,13290729,13314025,13336026,13338247,13381070,13386478,13391632,13394356,13395273,	12825961,12827065,12858008,13161747,13268502,13290897,13314347,13336274,13338404,13381126,13386540,13391773,13394433,13395507,	0	PHACTR1	cmpl	cmpl	-1,0,1,1,1,1,1,2,1,2,1,0,0,2,
687	NM_001143966	chr6	-	13304953	13328538	13413311	13435109	7	13413164,13414608,13415810,13424781,13429118,13434997,13436666,	13413398,13414738,13415956,13424919,13429306,13435117,13436749,	0	TBC1D7	cmpl	cmpl	0,2,0,0,1,0,-1,
687	NM_016495	chr6	-	13304953	13328538	13413311	13435109	8	13413164,13414608,13415810,13424781,13429118,13433304,13434997,13436506,	13413398,13414738,13415956,13424919,13429306,13433385,13435117,13436749,	0	TBC1D7	cmpl	cmpl	0,2,0,0,1,1,0,-1,
687	NM_001143965	chr6	-	13304953	13328538	13413311	13435109	8	13413164,13414608,13415810,13424781,13429118,13433304,13434997,13436666,	13413398,13414738,13415956,13424919,13429306,13433385,13435117,13436749,	0	TBC1D7	cmpl	cmpl	0,2,0,0,1,1,0,-1,
687	NM_001143964	chr6	-	13304953	13328538	13413311	13435109	8	13413164,13414608,13415810,13424781,13429118,13433304,13434997,13436526,	13413398,13414738,13415956,13424919,13429306,13433385,13435117,13436749,	0	TBC1D7	cmpl	cmpl	0,2,0,0,1,1,0,-1,
688	NM_033069	chr6	-	13469276	13486183	13578080	13578491	2	13577487,13594221,	13578841,13594394,	0	C6orf114	cmpl	cmpl	0,-1,
85	NM_018988	chr6	-	13363586	13487555	13472953	13595101	2	13471797,13594848,	13473873,13595766,	0	GFOD1	cmpl	cmpl	1,0,
689	NM_031244	chr6	+	13574559	13605738	13692321	13712729	10	13682770,13687661,13692286,13696541,13699879,13703687,13705173,13707242,13709044,13712686,	13682835,13687820,13692436,13696675,13700105,13703775,13705227,13707366,13709160,13713949,	0	SIRT5	cmpl	cmpl	-1,-1,0,1,0,1,2,2,0,2,
