1243	NM_020468	chr6	-	86271933	86360593	86272403	86360155	26	86271933,86273669,86274404,86280236,86280506,86280942,86284192,86284444,86292562,86294698,86296628,86300035,86303228,86308421,86309618,86310041,86313548,86313753,86313942,86314737,86316159,86324412,86338573,86338734,86340694,86360015,	86272442,86273726,86274496,86280332,86280671,86281066,86284312,86284485,86292674,86294799,86296712,86300237,86303361,86308480,86309743,86310197,86313663,86313834,86313987,86314813,86316316,86324497,86338652,86338811,86340815,86360593,	0	SNX14	cmpl	cmpl	0,0,1,1,1,0,0,1,0,1,1,0,2,0,1,1,0,0,0,2,1,0,2,0,2,0,
1274	NM_020466	chr6	-	90398663	90405195	90403712	90405156	3	90398663,90404181,90405111,	90403793,90404322,90405195,	0	LYRM2	cmpl	cmpl	0,0,0,
205	NM_020464	chr6	-	138784873	138935361	138786910	138934741	7	138784873,138792540,138793222,138809830,138836135,138859048,138934539,	138787646,138792673,138796510,138810023,138836263,138859201,138935361,	0	NHSL1	cmpl	cmpl	2,1,1,0,1,1,0,
917	NM_015388	chr6	-	43587542	43592706	43587882	43592523	9	43587542,43588155,43588476,43588784,43589074,43589303,43591310,43591604,43592442,	43588031,43588279,43588590,43588916,43589167,43589349,43591417,43591811,43592706,	0	YIPF3	cmpl	cmpl	1,0,0,0,0,2,0,0,0,
1135	NR_121612	chr6	-	72174288	72187169	72187169	72187169	4	72174288,72183743,72185112,72186489,	72182983,72183867,72185178,72187169,	0	LINC00472	unk	unk	-1,-1,-1,-1,
617	NM_001242525	chr6_qbl_hap2	-	4218743	4234959	4222824	4227745	6	4218743,4222812,4223193,4223815,4227645,4234860,	4219522,4222979,4223475,4224061,4227768,4234959,	0	HLA-DPA1	cmpl	cmpl	-1,1,1,1,0,-1,
601	NM_001202521	chr6_qbl_hap2	+	2103398	2114869	2103440	2111740	15	2103398,2103618,2103912,2105683,2106090,2106714,2107008,2107780,2107984,2109218,2111726,2112091,2112785,2113600,2113868,	2103525,2103721,2104141,2105831,2106190,2106901,2107255,2107876,2108136,2109384,2111854,2112310,2113020,2113750,2114869,	0	DDR1	cmpl	cmpl	0,1,2,0,1,2,0,1,1,0,1,-1,-1,-1,-1,
827	NM_001288	chr6	-	31806336	31812320	31806597	31812056	6	31806336,31807972,31809321,31809591,31809909,31812017,	31806759,31808154,31809428,31809717,31810019,31812320,	0	CLIC1	cmpl	cmpl	0,1,2,2,0,0,
645	NR_027712	chr6	+	7931333	7935576	7935576	7935576	1	7931333,	7935576,	0	PIP5K1P1	unk	unk	-1,
75	NM_001317061	chr6	+	3009073	3060425	3028347	3058572	13	3009073,3018871,3021996,3023011,3026211,3027779,3028317,3030491,3034813,3049457,3050714,3056035,3058285,	3009292,3019035,3022220,3023168,3026349,3027893,3028546,3030641,3034890,3049548,3051284,3056188,3060425,	0	RIPK1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,0,1,1,0,1,1,1,
1763	NM_001285528	chr6	+	154452589	154454785	154452663	154454717	3	154452589,154453779,154454636,	154453006,154454300,154454785,	0	OPRM1	cmpl	cmpl	0,1,0,
1763	NM_001285527	chr6	+	154452589	154454766	154452663	154454315	2	154452589,154453779,	154453006,154454766,	0	OPRM1	cmpl	cmpl	0,1,
898	NM_001329696	chr6	-	41142504	41147557	41143104	41147351	3	41142504,41146848,41147312,	41143154,41146993,41147557,	0	OARD1	cmpl	cmpl	1,0,0,
839	NM_004761	chr6	-	33367408	33375143	33367856	33374365	18	33367408,33368184,33368770,33369167,33369358,33369549,33369788,33370442,33370731,33370881,33371073,33371262,33371782,33372168,33372352,33372786,33374209,33374624,	33368068,33368299,33369061,33369279,33369454,33369671,33369821,33370517,33370800,33370966,33371177,33371514,33372080,33372219,33372531,33372870,33374406,33375143,	0	RGL2	cmpl	cmpl	1,0,0,2,2,0,0,0,0,2,0,0,2,2,0,0,0,-1,
844	NR_038989	chr6	-	33965265	33972662	33972662	33972662	3	33965265,33969333,33972573,	33968206,33969454,33972662,	0	LINC01016	unk	unk	-1,-1,-1,
141	NM_021940	chr6	+	71434194	71628437	71434447	71626758	10	71434194,71498801,71521403,71539773,71565080,71603364,71618963,71623282,71624345,71626623,	71434565,71498935,71521489,71539849,71565161,71603452,71619088,71623454,71624653,71628437,	0	SMAP1	cmpl	cmpl	0,1,0,2,0,0,1,0,1,0,
1672	NM_001286372	chr6	+	142509991	142583778	142510196	142581473	6	142509991,142532379,142533175,142552255,142561268,142581327,	142510229,142532507,142533251,142552364,142561445,142583778,	0	VTA1	cmpl	cmpl	0,0,2,0,1,1,
1672	NM_001286371	chr6	+	142509991	142583778	142510117	142581473	7	142509991,142529057,142532379,142533175,142552255,142561268,142581327,	142510229,142529152,142532507,142533251,142552364,142561445,142583778,	0	VTA1	cmpl	cmpl	0,1,0,2,0,1,1,
1479	NM_001286355	chr6	-	117219940	117256913	117219997	117256869	5	117219940,117223567,117234225,117237169,117256675,	117221106,117223691,117235062,117237473,117256913,	0	GPRC6A	cmpl	cmpl	1,0,0,2,0,
1479	NM_001286354	chr6	-	117219940	117256913	117219997	117256869	6	117219940,117223567,117228439,117234750,117237169,117256675,	117221106,117223691,117228652,117235062,117237473,117256913,	0	GPRC6A	cmpl	cmpl	1,0,0,0,2,0,
1870	NM_001286351	chr6	-	168436358	168463283	168437422	168463162	6	168436358,168437661,168438161,168453696,168454680,168462916,	168437470,168437726,168438233,168453975,168454813,168463283,	0	DACT2	cmpl	cmpl	0,1,1,1,0,0,
1870	NM_001286350	chr6	-	168450432	168463283	168450960	168453844	3	168450432,168453696,168463182,	168452627,168453851,168463283,	0	DACT2	cmpl	cmpl	1,0,-1,
1476	NM_001322944	chr6	+	116798725	116866147	116827106	116863459	5	116798725,116827053,116854429,116858809,116863442,	116798977,116827522,116854683,116859049,116866147,	0	DSE	cmpl	cmpl	-1,0,2,1,1,
839	NM_001145338	chr6	-	33390159	33393697	33390766	33392671	2	33390159,33393632,	33392740,33393697,	0	ZBTB22	cmpl	cmpl	0,-1,
620	NM_001145338	chr6_cox_hap1	-	4662320	4665861	4662927	4664832	2	4662320,4665796,	4664901,4665861,	0	ZBTB22	cmpl	cmpl	0,-1,
619	NM_001145338	chr6_qbl_hap2	-	4468374	4471913	4468981	4470886	2	4468374,4471848,	4470955,4471913,	0	ZBTB22	cmpl	cmpl	0,-1,
192	NM_001300994	chr6	+	125516573	125627251	125516796	125625807	6	125516573,125582922,125591962,125611126,125619942,125625678,	125516815,125583038,125592111,125611228,125620003,125627251,	0	TPD52L1	cmpl	cmpl	0,1,0,2,2,0,
839	NM_003782	chr6	+	33352894	33354580	33353174	33354311	1	33352894,	33354580,	0	B3GALT4	cmpl	cmpl	0,
620	NM_003782	chr6_cox_hap1	+	4625053	4626739	4625333	4626470	1	4625053,	4626739,	0	B3GALT4	cmpl	cmpl	0,
618	NM_003782	chr6_qbl_hap2	+	4431102	4432788	4431382	4432519	1	4431102,	4432788,	0	B3GALT4	cmpl	cmpl	0,
604	NR_152833	chr6_cox_hap1	-	2592788	2605382	2605382	2605382	6	2592788,2593291,2593579,2593694,2596693,2605090,	2593087,2593324,2593610,2593880,2596954,2605382,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,-1,-1,
604	NR_152834	chr6_cox_hap1	-	2592788	2605382	2605382	2605382	7	2592788,2593291,2593579,2593694,2594742,2596693,2605090,	2593087,2593324,2593610,2593880,2595009,2596954,2605382,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,-1,-1,-1,
184	NM_001080976	chr6	+	116707918	116866147	116827106	116865201	6	116707918,116827053,116854429,116858809,116861198,116863442,	116708116,116827522,116854683,116859049,116861406,116866147,	0	DSE	cmpl	cmpl	-1,0,2,1,1,2,
1016	NM_001723	chr6	-	56587338	56615653	56588273	56615545	24	56587338,56590742,56597286,56597913,56599960,56600755,56602006,56603001,56603967,56604639,56605610,56606888,56607218,56607557,56608345,56609313,56612015,56612206,56612452,56612685,56612899,56614703,56615166,56615378,	56590175,56593472,56597385,56598021,56600044,56600918,56602200,56603140,56604146,56604797,56605794,56607015,56607373,56607710,56608471,56609409,56612120,56612368,56612530,56612814,56613362,56614858,56615260,56615653,	0	DST	cmpl	cmpl	0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,
591	NM_001319053	chr6_qbl_hap2	-	827282	858191	828597	852667	23	827282,829548,829914,830623,831445,831951,832156,833655,834283,835978,837605,838297,846156,846807,847159,848360,848945,852541,854142,855577,856451,857356,857905,	828771,829692,830043,830751,831539,832059,832273,833788,834434,836056,837669,838540,846348,846873,847261,848531,849080,852702,854163,855699,856655,857441,858191,	0	GABBR1	cmpl	cmpl	0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,
213	NM_139244	chr6	+	147567186	147753305	147567361	147747584	26	147567186,147568799,147598078,147601998,147623443,147625118,147629912,147640909,147653922,147672912,147674283,147676712,147677092,147677424,147678343,147679057,147687787,147689953,147696985,147716151,147721912,147726163,147726829,147736559,147745606,147747542,	147567511,147568897,147598160,147602099,147623578,147625182,147629996,147641033,147654001,147673067,147674356,147676860,147677160,147677465,147678564,147679236,147687913,147690105,147697051,147716202,147722152,147726533,147726995,147736671,147745827,147753305,	0	STXBP5	cmpl	cmpl	0,0,2,0,2,2,0,0,1,2,1,2,0,2,1,0,2,2,1,1,1,1,2,0,1,0,
1857	NR_031734	chr6	-	166842831	166842911	166842911	166842911	1	166842831,	166842911,	0	MIR1913	unk	unk	-1,
774	NM_001160094	chr6	+	24775241	24813274	24795888	24809822	4	24775241,24795611,24806089,24809665,	24775551,24795900,24806274,24813274,	0	ACOT13	cmpl	cmpl	-1,0,0,2,
692	NM_001165034	chr6	+	14032655	14088219	14085329	14086073	3	14032655,14082419,14085118,	14032782,14082574,14088219,	0	RNF182	cmpl	cmpl	-1,-1,0,
692	NM_001165033	chr6	+	14033402	14088219	14085329	14086073	2	14033402,14085118,	14033576,14088219,	0	RNF182	cmpl	cmpl	-1,0,
692	NM_001165032	chr6	+	14033076	14088219	14085329	14086073	4	14033076,14069689,14082419,14085118,	14033233,14069772,14082574,14088219,	0	RNF182	cmpl	cmpl	-1,-1,-1,0,
77	NM_001164841	chr6	-	5053651	5206182	5089411	5205965	4	5053651,5089370,5161849,5205879,	5054724,5089495,5161970,5206182,	0	LYRM4	cmpl	cmpl	-1,0,2,0,
783	NM_001286125	chr6	-	26020962	26034086	26021650	26034003	10	26020962,26022751,26023942,26024891,26025175,26026693,26029212,26029385,26031901,26033975,	26021658,26022877,26024075,26025053,26025294,26026780,26029300,26029619,26032113,26034086,	0	SLC17A2	cmpl	cmpl	1,1,0,0,1,1,0,0,1,0,
783	NM_001286123	chr6	-	26020962	26034086	26021523	26034003	11	26020962,26022786,26023705,26023942,26024891,26025175,26026693,26029212,26029385,26031901,26033975,	26021658,26022877,26023853,26024075,26025053,26025294,26026780,26029300,26029619,26032113,26034086,	0	SLC17A2	cmpl	cmpl	0,2,1,0,0,1,1,0,0,1,0,
782	NM_001286121	chr6	+	25862905	25889382	25877262	25887395	13	25862905,25870133,25876542,25877191,25878273,25878590,25879132,25881481,25881719,25884801,25885018,25886132,25887260,	25862988,25870260,25876642,25877397,25878507,25878678,25879219,25881600,25881881,25884934,25885166,25886223,25889382,	0	SLC17A4	cmpl	cmpl	-1,-1,-1,0,0,0,1,1,0,0,1,2,0,
174	NM_001286111	chr6	-	106739044	106880388	106756584	106870776	5	106739044,106756539,106802717,106870668,106880093,	106741244,106756657,106802812,106870834,106880388,	0	ATG5	cmpl	cmpl	-1,2,0,0,-1,
1427	NM_001286099	chr6	+	110406151	110408616	110406671	110408097	3	110406151,110406589,110406990,	110406363,110406698,110408616,	0	GPR6	cmpl	cmpl	-1,0,0,
174	NM_001286108	chr6	-	106739044	106880388	106756584	106870776	8	106739044,106756539,106802717,106834228,106847595,106862931,106870668,106880093,	106741244,106756657,106802808,106834391,106847674,106863059,106870834,106880388,	0	ATG5	cmpl	cmpl	-1,2,1,0,2,0,0,-1,
174	NM_001286107	chr6	-	106739044	106880388	106741107	106870670	7	106739044,106756539,106802717,106834228,106847595,106870668,106880093,	106741244,106756657,106802812,106834391,106847674,106870834,106880388,	0	ATG5	cmpl	cmpl	1,0,1,0,2,0,-1,
174	NM_001286106	chr6	-	106739044	106880003	106741107	106870776	8	106739044,106756539,106802717,106834228,106847595,106862931,106870668,106879843,	106741244,106756657,106802812,106834391,106847674,106863059,106870834,106880003,	0	ATG5	cmpl	cmpl	1,0,1,0,2,0,0,-1,
27	NM_014892	chr6	+	155096203	155197070	155096726	155196221	20	155096203,155136814,155140826,155150686,155155648,155157834,155164796,155166369,155168194,155170895,155171511,155172840,155178541,155181304,155183002,155185101,155187059,155189997,155193747,155194764,	155096756,155136898,155140871,155150848,155155802,155157965,155164973,155166449,155168312,155171027,155171624,155173034,155178642,155181418,155183159,155185235,155187204,155190066,155193966,155197070,	0	SCAF8	cmpl	cmpl	0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,1,0,1,1,1,
1258	NM_006416	chr6	+	88239361	88278776	88239440	88277963	8	88239361,88243798,88266944,88267594,88272818,88274856,88275477,88277835,	88239456,88243976,88267104,88267747,88272885,88275033,88275612,88278776,	0	SLC35A1	cmpl	cmpl	0,1,2,0,0,1,1,1,
210	NM_001080954	chr6	-	144303129	144371246	144304253	144310966	7	144303129,144310814,144323298,144327616,144331736,144347964,144370919,	144305493,144311290,144323372,144327648,144331808,144348004,144371246,	0	PLAGL1	cmpl	cmpl	2,0,-1,-1,-1,-1,-1,
210	NM_001080953	chr6	-	144303129	144371246	144304253	144310966	7	144303129,144310814,144323298,144327616,144328987,144331736,144370919,	144305493,144311290,144323372,144327648,144329028,144331808,144371246,	0	PLAGL1	cmpl	cmpl	2,0,-1,-1,-1,-1,-1,
827	NM_013974	chr6	-	31802792	31806021	31802992	31804917	7	31802792,31803298,31803928,31804206,31804401,31804620,31805806,	31803109,31803448,31804048,31804280,31804501,31804981,31806021,	0	DDAH2	cmpl	cmpl	0,0,0,1,0,0,-1,
608	NM_013974	chr6_cox_hap1	-	3140937	3144166	3141137	3143062	7	3140937,3141443,3142073,3142351,3142546,3142765,3143951,	3141254,3141593,3142193,3142425,3142646,3143126,3144166,	0	DDAH2	cmpl	cmpl	0,0,0,1,0,0,-1,
607	NM_013974	chr6_qbl_hap2	-	2942390	2945619	2942590	2944515	7	2942390,2942896,2943526,2943804,2943999,2944218,2945404,	2942707,2943046,2943646,2943878,2944099,2944579,2945619,	0	DDAH2	cmpl	cmpl	0,0,0,1,0,0,-1,
822	NM_014070	chr6	-	31186978	31188311	31187136	31188311	2	31186978,31188244,	31188047,31188311,	0	C6orf15	cmpl	cmpl	1,0,
604	NM_014070	chr6_cox_hap1	-	2530210	2531543	2530368	2531543	2	2530210,2531476,	2531279,2531543,	0	C6orf15	cmpl	cmpl	1,0,
602	NM_014070	chr6_qbl_hap2	-	2328764	2330097	2328922	2330097	2	2328764,2330030,	2329833,2330097,	0	C6orf15	cmpl	cmpl	1,0,
823	NM_014069	chr6	-	31213289	31215106	31213706	31214782	2	31213289,31214727,	31214062,31215106,	0	PSORS1C2	cmpl	cmpl	1,0,
604	NM_014069	chr6_cox_hap1	-	2556539	2558356	2556956	2558032	2	2556539,2557977,	2557312,2558356,	0	PSORS1C2	cmpl	cmpl	1,0,
602	NM_014069	chr6_qbl_hap2	-	2355104	2356919	2355520	2356595	2	2355104,2356540,	2355876,2356919,	0	PSORS1C2	cmpl	cmpl	1,0,
